model,station,accuracy,precision,recall,f1
KNN,BASEL,0.8952069716775599,0.76592082616179,0.8098271155595996,0.7872622733303848
KNN,BELGRADE,0.8572984749455338,0.7745454545454545,0.8187059577194107,0.796013702896294
KNN,BUDAPEST,0.8812636165577342,0.7924648786717752,0.8494182067077344,0.8199537495870499
KNN,DEBILT,0.9058823529411765,0.7706310679611651,0.7232346241457859,0.7461809635722679
KNN,DUSSELDORF,0.903921568627451,0.7746913580246914,0.7723076923076924,0.773497688751926
KNN,HEATHROW,0.8814814814814815,0.7047120418848167,0.7197860962566844,0.7121693121693121
KNN,KASSEL,0.9206971677559913,0.7841079460269865,0.7039030955585465,0.7418439716312056
KNN,LJUBLJANA,0.8825708061002179,0.7633587786259542,0.8136696501220505,0.7877116975187082
KNN,MAASTRICHT,0.9135076252723312,0.7881720430107527,0.7856377277599143,0.7869028448738594
KNN,MADRID,0.8359477124183007,0.8013182674199624,0.8371864240039351,0.8188597546307433
KNN,MUNCHENB,0.9050108932461873,0.776824034334764,0.7605042016806722,0.7685774946921444
KNN,OSLO,0.9159041394335512,0.7212863705972435,0.6977777777777778,0.7093373493975904
KNN,STOCKHOLM,0.8991285403050109,0.7229080932784636,0.6687817258883249,0.6947923533289387
KNN,VALENTIA,0.9612200435729847,0.6923076923076923,0.39473684210526316,0.5027932960893855
Logistic Regression,BASEL,0.9710239651416122,0.9281914893617021,0.9526842584167425,0.9402784014369107
Logistic Regression,BELGRADE,0.9679738562091503,0.9497455470737913,0.9564381806534273,0.953080114905841
Logistic Regression,BUDAPEST,0.9729847494553376,0.9513841998649561,0.9644079397672827,0.9578518014955812
Logistic Regression,DEBILT,0.9703703703703703,0.9274193548387096,0.9168564920273349,0.9221076746849943
Logistic Regression,DUSSELDORF,0.9694989106753813,0.922998986828774,0.9343589743589743,0.928644240570846
Logistic Regression,HEATHROW,0.9594771241830066,0.897136797454931,0.9048128342245989,0.9009584664536742
Logistic Regression,KASSEL,0.9797385620915032,0.9333333333333333,0.9421265141318977,0.9377093101138647
Logistic Regression,LJUBLJANA,0.9610021786492374,0.9173290937996821,0.9389747762408462,0.9280257338158424
Logistic Regression,MAASTRICHT,0.9718954248366013,0.9258474576271186,0.9367631296891747,0.9312733084709643
Logistic Regression,MADRID,0.8442265795206971,0.823992133726647,0.82439744220364,0.8241947381362184
Logistic Regression,MUNCHENB,0.9769063180827887,0.9452631578947368,0.9432773109243697,0.9442691903259727
Logistic Regression,OSLO,0.9753812636165577,0.9096209912536443,0.9244444444444444,0.916972814107274
Logistic Regression,STOCKHOLM,0.9793028322440087,0.9425287356321839,0.9365482233502538,0.939528962444303
Logistic Regression,VALENTIA,0.9845315904139433,0.9025641025641026,0.7719298245614035,0.8321513002364066
Decision Tree,BASEL,1.0,1.0,1.0,1.0
Decision Tree,BELGRADE,1.0,1.0,1.0,1.0
Decision Tree,BUDAPEST,1.0,1.0,1.0,1.0
Decision Tree,DEBILT,1.0,1.0,1.0,1.0
Decision Tree,DUSSELDORF,1.0,1.0,1.0,1.0
Decision Tree,HEATHROW,1.0,1.0,1.0,1.0
Decision Tree,KASSEL,1.0,1.0,1.0,1.0
Decision Tree,LJUBLJANA,1.0,1.0,1.0,1.0
Decision Tree,MAASTRICHT,1.0,1.0,1.0,1.0
Decision Tree,MADRID,0.8252723311546841,0.7724656927844179,0.8583374323659616,0.8131407269338303
Decision Tree,MUNCHENB,1.0,1.0,1.0,1.0
Decision Tree,OSLO,1.0,1.0,1.0,1.0
Decision Tree,STOCKHOLM,1.0,1.0,1.0,1.0
Decision Tree,VALENTIA,1.0,1.0,1.0,1.0
Random Forest,BASEL,0.9814814814814815,0.9651376146788991,0.9572338489535942,0.9611694837825491
Random Forest,BELGRADE,0.979520697167756,0.9587242026266416,0.9820627802690582,0.970253164556962
Random Forest,BUDAPEST,0.9806100217864924,0.9616419919246298,0.9780971937029432,0.9697997964031219
Random Forest,DEBILT,0.9766884531590414,0.9551357733175915,0.9214123006833713,0.9379710144927537
Random Forest,DUSSELDORF,0.9758169934640523,0.9716157205240175,0.9128205128205128,0.9413008989952406
Random Forest,HEATHROW,0.9531590413943355,0.9008908685968819,0.8652406417112299,0.8827059465357338
Random Forest,KASSEL,0.9703703703703703,0.956390977443609,0.8559892328398385,0.9034090909090909
Random Forest,LJUBLJANA,0.984313725490196,0.9714751426242869,0.9698942229454841,0.9706840390879479
Random Forest,MAASTRICHT,0.9806100217864924,0.9557235421166307,0.9485530546623794,0.9521247982786444
Random Forest,MADRID,0.8461873638344226,0.7955456570155902,0.8785046728971962,0.8349696119682094
Random Forest,MUNCHENB,0.9773420479302832,0.9669603524229075,0.9222689075630253,0.9440860215053763
Random Forest,OSLO,0.9753812636165577,0.9795221843003413,0.8503703703703703,0.9103885804916733
Random Forest,STOCKHOLM,0.9610021786492374,0.9445255474452555,0.8210659898477157,0.878479293957909
Random Forest,VALENTIA,0.9568627450980393,0.96875,0.13596491228070176,0.23846153846153847
Gradient Boosting,BASEL,1.0,1.0,1.0,1.0
Gradient Boosting,BELGRADE,1.0,1.0,1.0,1.0
Gradient Boosting,BUDAPEST,1.0,1.0,1.0,1.0
Gradient Boosting,DEBILT,1.0,1.0,1.0,1.0
Gradient Boosting,DUSSELDORF,1.0,1.0,1.0,1.0
Gradient Boosting,HEATHROW,1.0,1.0,1.0,1.0
Gradient Boosting,KASSEL,1.0,1.0,1.0,1.0
Gradient Boosting,LJUBLJANA,1.0,1.0,1.0,1.0
Gradient Boosting,MAASTRICHT,1.0,1.0,1.0,1.0
Gradient Boosting,MADRID,0.8586056644880175,0.8212627669452182,0.8701426463354648,0.8449964174826845
Gradient Boosting,MUNCHENB,1.0,1.0,1.0,1.0
Gradient Boosting,OSLO,1.0,1.0,1.0,1.0
Gradient Boosting,STOCKHOLM,1.0,1.0,1.0,1.0
Gradient Boosting,VALENTIA,1.0,1.0,1.0,1.0
SVM,BASEL,0.9457516339869281,0.8754416961130742,0.9017288444040037,0.8883908561183326
SVM,BELGRADE,0.9387799564270153,0.889768574908648,0.9359385009609225,0.9122697471120824
SVM,BUDAPEST,0.947276688453159,0.9039098740888005,0.9336071184120466,0.9185185185185185
SVM,DEBILT,0.9494553376906318,0.8704128440366973,0.8644646924829157,0.8674285714285714
SVM,DUSSELDORF,0.9494553376906318,0.8733668341708543,0.8912820512820513,0.8822335025380711
SVM,HEATHROW,0.9400871459694989,0.8416149068322981,0.8695187165775401,0.855339295107838
SVM,KASSEL,0.9601307189542484,0.8794037940379403,0.873485868102288,0.8764348413234301
SVM,LJUBLJANA,0.9376906318082788,0.862413528055342,0.9129373474369405,0.8869565217391304
SVM,MAASTRICHT,0.9498910675381264,0.8743343982960596,0.879957127545552,0.8771367521367521
